INFO  - 2013-10-08 14:41:30.460; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=/velocity/main.css&contentType=text/css} status=0 QTime=1 
INFO  - 2013-10-08 14:41:30.460; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=/velocity/jquery.autocomplete.css&contentType=text/css} status=0 QTime=1 
INFO  - 2013-10-08 14:41:30.461; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=/velocity/api/timeline-api.js} status=0 QTime=0 
INFO  - 2013-10-08 14:41:30.464; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=/velocity/jquery.autocomplete.js&contentType=text/javascript} status=0 QTime=0 
INFO  - 2013-10-08 14:41:30.516; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=/velocity/api/scripts/timeline.js} status=0 QTime=1 
INFO  - 2013-10-08 14:41:30.517; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=/velocity/api/scripts/themes.js} status=0 QTime=0 
INFO  - 2013-10-08 14:41:30.517; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=/velocity/api/scripts/band.js} status=0 QTime=0 
INFO  - 2013-10-08 14:41:30.518; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=/velocity/api/scripts/ether-painters.js} status=0 QTime=0 
INFO  - 2013-10-08 14:41:30.518; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=/velocity/api/scripts/ethers.js} status=0 QTime=0 
INFO  - 2013-10-08 14:41:30.519; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=/velocity/api/scripts/event-utils.js} status=0 QTime=1 
INFO  - 2013-10-08 14:41:30.522; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=/velocity/api/scripts/labellers.js} status=0 QTime=0 
INFO  - 2013-10-08 14:41:30.523; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=/velocity/api/scripts/original-painter.js} status=0 QTime=1 
INFO  - 2013-10-08 14:41:30.523; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=/velocity/api/scripts/overview-painter.js} status=0 QTime=0 
INFO  - 2013-10-08 14:41:30.522; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=/velocity/api/scripts/sources.js} status=0 QTime=0 
INFO  - 2013-10-08 14:41:30.523; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file params={file=/velocity/api/scripts/compact-painter.js} status=0 QTime=0 
